"","income","sex","eth","fedu","medu","weights"
"110",4681.20423262842,2,1,1,0,1
"111",16909.2187326284,2,2,1,0,1
"112",12004.3407326284,1,1,1,8,1
"113",3390.79683262842,2,1,10,10,1
"114",10527.3257326284,1,1,7,7,1
"115",6089.93183262842,1,1,4,4,1
"116",4991.01093262842,2,3,8,8,1
"117",4973.22523262842,2,1,1,0,1
"118",8944.27063262842,1,1,1,8,1
"119",3611.93713262842,2,1,1,0,1
"120",5572.58273262842,1,1,1,0,1
"121",2495.24773262842,2,1,8,0,1
"122",9729.21403262842,1,1,1,0,1
"123",14554.8317326284,1,1,6,8,1
"124",16603.4153992951,2,4,9,12,1
"125",3003.67713262842,1,1,6,7,1
"126",11459.6577326284,2,1,1,0,1
"127",8426.92203262842,1,1,12,9,1
"128",2361.45063262842,1,1,1,0,1
"129",2629.04513262842,2,1,1,0,1
"130",10210.8837326284,1,3,1,0,1
"131",7676.32783262842,1,1,1,0,1
"132",5019.55433262842,1,1,6,0,1
"133",4769.79953262842,2,1,2,2,1
"134",4413.00703262842,2,1,8,8,1
"135",6323.02893262842,1,1,1,0,1
"136",3119.63473262842,1,1,1,0,1
"137",7684.55343262842,1,1,1,4,1
"138",4234.61103262842,1,1,1,0,1
"139",15057.3153992951,1,1,1,0,1
"140",5937.71353262842,2,3,1,0,1
"141",1826.26203262842,1,1,1,0,1
"142",6018.57293262842,1,3,11,0,1
"143",9318.90353262842,1,1,1,0,1
"144",5750.97873262842,2,1,9,8,1
"145",1246.47433262842,1,1,3,0,1
"146",6892.96603262842,1,1,7,3,1
"147",6357.52603262842,1,1,1,0,1
"148",1478.38943262842,2,1,1,0,1
"149",755.13670262842,1,1,1,0,1
"150",5304.98843262842,2,3,5,8,1
"151",19041.4967326284,2,1,6,7,1
"152",3253.43183262842,2,1,1,0,1
"153",2450.64883262842,2,1,9,9,1
"154",1915.46013262842,2,1,1,0,1
"155",8872.91223262842,1,1,1,6,1
"156",3413.98843262842,1,1,2,0,1
"157",993.28753262842,1,1,1,0,1
"158",1216.84243262842,1,1,11,0,1
"159",3358.68543262842,1,1,1,0,1
"160",4145.41273262842,1,1,1,0,1
"161",1915.46013262842,2,1,1,8,1
"162",5046.45523262842,2,3,1,0,1
"163",20379.4687326284,1,4,11,10,1
"164",1291.07343262842,2,1,1,0,1
"165",4479.47133262842,2,1,9,7,1
"166",622.08757262842,1,1,1,0,1
"167",2629.04513262842,1,1,1,0,1
"168",6196.96943262842,1,1,7,5,1
"169",2049.25723262842,2,1,1,0,1
"170",11370.4597326284,2,1,1,0,1
"171",2700.40353262842,1,1,1,0,1
